Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
128	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*		DOH
122	-0.0869947	34.7383296		Kenya	BA.2.86*		DOH
102	59.8143342	30.32107		Russian Federation	BA.2.86*		DOH
110	22.350627	114.1849161		Hong Kong (People's Republic of China)	BA.2.86*		DOH
70	4.1898549	73.5271565		Maldives	BA.2.86*		DOH
110	0.0442028	32.4579692		Uganda	JN.1.18*		DOH
65	13.2099268	120.6038962		Philippines	Omicron		DOH
73	21.0862162	79.0637884		India	Other		DOH
81	39.47644	-87.1003925		Brazil	Other		DOH
98	-27.3856545	153.1184918		Australia	Other		DOH
126	5.6164609	-0.1770993		Egypt	Other		DOH
75	-8.7441455	115.1663723		Indonesia	Other		DOH
90	39.6091229	19.9144855		Greece	BA.2.86*		DOH
102	55.0356373	-1.7110967		United Kingdom	Other		DOH
30	42.3743325	-71.0302794		United States	XBB.1.16*		DOH
21	22.3160874	113.93647839996052		China	XBB.1.5*		DOH
45	1.352975	103.99605546603934		Singapore	XBB*		DOH
107	5.6533152	-0.2527234		Ghana	Omicron		DOH
129	13.2099268	120.6038962		Philippines	Omicron		DOH
14	53.2716381	7.4587572		Germany	Other		DOH
132	-8.7441455	115.1663723		Indonesia	KP.3.1.1*		DOH
70	30.9496969	-91.5824929		Angola	BA.2.86*		DOH
23	22.3160874	113.93647839996052		China	XBB*		DOH
49	41.1338198	16.7632158		Italy	Other		DOH
127	22.3160874	113.93647839996052		China	BA.2.86*		DOH
123	9.0067224	7.2723697		Nigeria	BA.2.86*		DOH
105	24.8865027	67.1440768		Pakistan	Omicron		DOH
